Date,Event,Fighter1,Fighter2,Method,Note,Result,Round,Time,Time (secs),Weight class
1996-12-07,UFC: The Ultimate Ultimate 2,Kimo Leopoldo,Paul Varelans,TKO (corner stoppage),[d],def.,1.0,9:08,548,-
1996-12-07,UFC: The Ultimate Ultimate 2,Steve Nelmark,Marcus Bossett,Submission (choke),-,def.,1.0,1:37,97,-
1996-12-07,UFC: The Ultimate Ultimate 2,Tank Abbott,Cal Worsham,Submission (punches),-,def.,1.0,2:51,171,-
1996-12-07,UFC: The Ultimate Ultimate 2,Mark Hall,Felix Mitchell,TKO (punches),-,def.,1.0,1:45,105,-
1996-12-07,UFC: The Ultimate Ultimate 2,Don Frye,Gary Goodridge,Submission (fatigue),-,def.,1.0,11:19,679,-
1996-12-07,UFC: The Ultimate Ultimate 2,Tai Bowden,Jack Nilson,Submission (headbutts),-,def.,1.0,4:46,286,-
1996-12-07,UFC: The Ultimate Ultimate 2,Tank Abbott,Steve Nelmark,KO (punch),[a],def.,1.0,1:03,63,-
1996-12-07,UFC: The Ultimate Ultimate 2,Don Frye,Tank Abbott,Submission (rear-naked choke),-,def.,1.0,1:22,82,-
1996-12-07,UFC: The Ultimate Ultimate 2,Ken Shamrock,Brian Johnston,Submission (forearm choke),[c],def.,1.0,5:48,348,-
1996-12-07,UFC: The Ultimate Ultimate 2,Don Frye,Mark Hall,Submission (achilles lock),[b],def.,1.0,0:20,20,-
1997-02-07,UFC 12: Judgement Day,Justin Martin,Eric Martin,Submission (heel hook),-,def.,1.0,0:14,14,Heavyweight
1997-02-07,UFC 12: Judgement Day,Vitor Belfort,Scott Ferrozzo,TKO (punches),-,def.,1.0,0:43,43,Heavyweight
1997-02-07,UFC 12: Judgement Day,Mark Coleman,Dan Severn,Submission (neck crank),[c],def.,1.0,2:57,177,Heavyweight
1997-02-07,UFC 12: Judgement Day,Jerry Bohlander,Rainy Martinez,Submission (rear naked choke),-,def.,1.0,1:18,78,Lightweight
1997-02-07,UFC 12: Judgement Day,Nick Sanzo,Jackie Lee,TKO (strikes),-,def.,1.0,0:48,48,Lightweight
1997-02-07,UFC 12: Judgement Day,Scott Ferrozzo,Jim Mullen,TKO (punches),-,def.,1.0,8:02,482,Heavyweight
1997-02-07,UFC 12: Judgement Day,Jerry Bohlander,Nick Sanzo,Submission (Neck Crank),[a],def.,1.0,0:39,39,Lightweight
1997-02-07,UFC 12: Judgement Day,Yoshiki Takahashi,Wallid Ismail,Decision,[b],def.,1.0,15:00,900,Lightweight
1997-02-07,UFC 12: Judgement Day,Vitor Belfort,Tra Telligman,TKO (cut),-,def.,1.0,1:17,77,Heavyweight
1997-05-30,UFC 13: The Ultimate Force,Randy Couture,Steven Graham,TKO (punches),-,def.,1.0,3:13,193,Heavyweight
1997-05-30,UFC 13: The Ultimate Force,Vitor Belfort,Tank Abbott,TKO (punches),-,def.,1.0,0:52,52,Heavyweight
1997-05-30,UFC 13: The Ultimate Force,Jack Nilson,Saeed Hosseini,TKO (punches),-,def.,1.0,1:23,83,Heavyweight
1997-05-30,UFC 13: The Ultimate Force,Guy Mezger,Christophe Leininger,Decision (unanimous),-,def.,1.0,15:00,900,Lightweight
1997-05-30,UFC 13: The Ultimate Force,Randy Couture,Tony Halme,Submission (rear-naked choke),-,def.,1.0,1:00,60,Heavyweight
1997-05-30,UFC 13: The Ultimate Force,Tito Ortiz,Wes Albritton,TKO (corner stoppage),-,def.,1.0,0:31,31,Lightweight
1997-05-30,UFC 13: The Ultimate Force,Enson Inoue,Royce Alger,Submission (armbar),-,def.,1.0,1:36,96,Lightweight
1997-05-30,UFC 13: The Ultimate Force,Guy Mezger,Tito Ortiz,Submission (guillotine choke),[a],def.,1.0,3:00,180,Lightweight
1997-05-30,UFC 13: The Ultimate Force,Steven Graham,Dmitri Stepanov,Submission (armlock),-,def.,1.0,1:30,90,Heavyweight
1997-07-27,UFC 14: Showdown,Alex Hunter,Sam Fulton,TKO (punches),-,def.,1.0,2:22,142,Heavyweight
1997-07-27,UFC 14: Showdown,Dan Bobish,Brian Johnston,Submission (forearm choke),-,def.,1.0,2:10,130,Heavyweight
1997-07-27,UFC 14: Showdown,Mark Kerr,Moti Horenstein,TKO (punches),-,def.,1.0,2:22,142,Heavyweight
1997-07-27,UFC 14: Showdown,Mark Kerr,Dan Bobish,Submission (chin to the eye),-,def.,1.0,1:38,98,Heavyweight
1997-07-27,UFC 14: Showdown,Tony Fryklund,Donnie Chappell,Submission (choke),[d],def.,1.0,1:31,91,Middleweight
1997-07-27,UFC 14: Showdown,Kevin Jackson,Todd Butler,Submission (punches),-,def.,1.0,1:27,87,Middleweight
1997-07-27,UFC 14: Showdown,Joe Moreira,Yuri Vaulin,Unanimous decision,[c],def.,1.0,15:00,900,Middleweight
1997-07-27,UFC 14: Showdown,Maurice Smith,Mark Coleman (c),Unanimous decision,[a],def.,1.0,21:00,1260,Heavyweight
1997-07-27,UFC 14: Showdown,Kevin Jackson,Tony Fryklund,Submission (rear-naked choke),[b],def.,1.0,0:44,44,Middleweight
1997-10-17,UFC 15: Collision Course,Alex Hunter,Harry Moskowitz,Decision (split),-,def.,1.0,12:00,720,Heavyweight
1997-10-17,UFC 15: Collision Course,Maurice Smith (c),Tank Abbott,Submission (exhaustion),[a],def.,1.0,8:08,488,Heavyweight
1997-10-17,UFC 15: Collision Course,Mark Kerr,Dwayne Cason,Submission (rear-naked choke),[b],def.,1.0,0:53,53,Heavyweight
1997-10-17,UFC 15: Collision Course,Dwayne Cason,Houston Dorr,TKO (punches),-,def.,1.0,3:43,223,Heavyweight
1997-10-17,UFC 15: Collision Course,Dave Beneteau,Carlos Barreto,Decision (unanimous),[c],def.,1.0,15:00,900,Heavyweight
1997-10-17,UFC 15: Collision Course,Mark Kerr,Greg Stott,KO (knee),-,def.,1.0,0:17,17,Heavyweight
1997-10-17,UFC 15: Collision Course,Randy Couture,Vitor Belfort,TKO (punches),-,def.,1.0,8:16,496,Heavyweight
1997-12-21,UFC Japan: Ultimate Japan,Vitor Belfort,Joe Charles,Submission (armbar),-,def.,1.0,4:03,243,Heavyweight
1997-12-21,UFC Japan: Ultimate Japan,Randy Couture,Maurice Smith (c),Decision,[a],def.,1.0,21:00,1260,Heavyweight
1997-12-21,UFC Japan: Ultimate Japan,Kazushi Sakuraba,Marcus Silveira,Submission (armbar),[b],def.,1.0,3:44,224,Heavyweight
1997-12-21,UFC Japan: Ultimate Japan,Frank Shamrock,Kevin Jackson,Submission (armbar),[c],def.,1.0,0:22,22,Middleweight
1997-12-21,UFC Japan: Ultimate Japan,Kazushi Sakuraba,Marcus Silveira,No Contest (premature stoppage),[d],vs.,1.0,1:51,111,Heavyweight
1997-12-21,UFC Japan: Ultimate Japan,Tank Abbott,Yoji Anjo,Decision,[e],def.,1.0,15:00,900,Heavyweight
1997-12-21,UFC Japan: Ultimate Japan,Tra Telligman,Brad Kohler,Submission (armbar),-,def.,1.0,10:05,605,Heavyweight
1998-03-13,UFC 16: Battle in the Bayou,Mikey Burnett,Eugenio Tadeu,TKO (punches),[d],def.,1.0,9:46,586,Lightweight
1998-03-13,UFC 16: Battle in the Bayou,Jerry Bohlander,Kevin Jackson,Technical submission (armbar),[b],def.,1.0,10:21,621,Middleweight
1998-03-13,UFC 16: Battle in the Bayou,Pat Miletich,Chris Brennan,Submission (shoulder choke),[c],def.,1.0,9:01,541,Lightweight
1998-03-13,UFC 16: Battle in the Bayou,Tsuyoshi Kohsaka,Kimo Leopoldo,Unanimous decision,-,def.,1.0,15:00,900,Heavyweight
1998-03-13,UFC 16: Battle in the Bayou,Pat Miletich,Townsend Saunders,Split decision,-,def.,1.0,15:00,900,Lightweight
1998-03-13,UFC 16: Battle in the Bayou,Laverne Clark,Josh Stuart,TKO (punches),-,def.,1.0,1:15,75,Lightweight
1998-03-13,UFC 16: Battle in the Bayou,Chris Brennan,Courtney Turner,Submission (armbar),-,def.,1.0,1:20,80,Lightweight
1998-03-13,UFC 16: Battle in the Bayou,Frank Shamrock (c),Igor Zinoviev,KO (slam),[a],def.,1.0,0:22,22,Middleweight
1998-05-15,UFC 17: Redemption,Dan Henderson,Allan Goes,Unanimous decision,-,def.,1.0,15:00,900,Middleweight
1998-05-15,UFC 17: Redemption,Tank Abbott,Hugo Duarte,TKO (punches),-,def.,1.0,0:43,43,Heavyweight
1998-05-15,UFC 17: Redemption,Frank Shamrock (c),Jeremy Horn,Submission (kneebar),[a],def.,1.0,16:28,988,Middleweight
1998-05-15,UFC 17: Redemption,Mike Van Arsdale,Joe Pardo,Submission (kimura),-,def.,1.0,11:01,661,Heavyweight
1998-05-15,UFC 17: Redemption,Carlos Newton,Bob Gilstrap,Submission (triangle choke),-,def.,1.0,0:54,54,Middleweight
1998-05-15,UFC 17: Redemption,Dan Henderson,Carlos Newton,Split decision,-,def.,1.0,15:00,900,Middleweight
1998-05-15,UFC 17: Redemption,Pete Williams,Mark Coleman,KO (head kick),-,def.,1.0,12:38,758,Heavyweight
1998-05-15,UFC 17: Redemption,Andre Roberts,Harry Moskowitz,KO (elbow),-,def.,1.0,3:15,195,Heavyweight
1998-05-15,UFC 17: Redemption,Chuck Liddell,Noe Hernandez,Unanimous decision,-,def.,1.0,12:00,720,Middleweight
1998-10-16,UFC Brazil: Ultimate Brazil,Tulio Palhares,Adriano Santos,TKO,-,def.,1.0,9:00,540,Middleweight
1998-10-16,UFC Brazil: Ultimate Brazil,Cesar Marscucci,Paulo Santos,TKO,-,def.,1.0,10:27,627,Lightweight
1998-10-16,UFC Brazil: Ultimate Brazil,Pat Miletich,Mikey Burnett,Split decision,[b],def.,1.0,21:00,1260,Lightweight
1998-10-16,UFC Brazil: Ultimate Brazil,Ebenezer Fontes Braga,Jeremy Horn,Submission (guillotine choke),-,def.,1.0,3:27,207,Middleweight
1998-10-16,UFC Brazil: Ultimate Brazil,Pedro Rizzo,Tank Abbott,KO (punch),-,def.,1.0,8:07,487,Heavyweight
1998-10-16,UFC Brazil: Ultimate Brazil,Vitor Belfort,Wanderlei Silva,TKO (punches),-,def.,1.0,0:44,44,Middleweight
