Date,Event,ROUND,TIME,Results_1,Results_2,Fighter_1,Fighter_2,WEIGHT CLASS,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,PASS_1,PASS_2,METHOD_result,METHOD_note,Date.1,Event.1,Fighter_R,Fighter_B,METHOD,ROUND.1,TIME.1,TIME_FORMAT,REFEREE,KD_R,KD_B,SIG_STR_R,SIG_STR_B,pSIG_STR_R,pSIG_STR_B,TOTAL_STR_R,TOTAL_STR_B,TD_R,TD_B,pTD_R,pTD_B,SUB_ATT_R,SUB_ATT_B,PASS_R,PASS_B,REV_R,REV_B,HEAD_R,HEAD_B,BODY_R,BODY_B,LEG_R,LEG_B,CLINCH_R,CLINCH_B,DISTANCE_R,DISTANCE_B,GROUND_R,GROUND_B
2019-03-23,UFC Fight Night: Thompson vs. Pettis,3,5:00,win,-,Bryce Mitchell,Bobby Moffett,Featherweight,17.0,9.0,0.0,5.0,2.0,2.0,1.0,4.0,U-DEC,-,2019-03-23,UFC Fight Night: Thompson vs. Pettis,Bryce Mitchell,Bobby Moffett,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Ricky Parker,0.0,0.0,17 of 44,9 of 42,38%,21%,28 of 56,25 of 63,0 of 3,5 of 8,0%,62%,2.0,2.0,1.0,4.0,1.0,1.0,7 of 29,5 of 37,7 of 11,1 of 2,3 of 4,3 of 3,1 of 3,1 of 1,16 of 41,8 of 41,0 of 0,0 of 0
2019-03-23,UFC Fight Night: Thompson vs. Pettis,1,1:25,win,-,Marlon Vera,Frankie Saenz,Bantamweight,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,KO/TKO,Punch,2019-03-23,UFC Fight Night: Thompson vs. Pettis,Marlon Vera,Frankie Saenz,KO/TKO,1,1:25,3 Rnd (5-5-5),Jimmy Neely,1.0,0.0,12 of 16,4 of 10,75%,40%,13 of 17,4 of 10,0 of 0,0 of 0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,7 of 9,1 of 5,0 of 1,1 of 3,5 of 6,2 of 2,0 of 0,0 of 0,7 of 11,4 of 10,5 of 5,0 of 0
2019-03-23,UFC Fight Night: Thompson vs. Pettis,3,5:00,win,-,Jennifer Maia,Alexis Davis,Women's Flyweight,60.0,72.0,0.0,1.0,0.0,0.0,0.0,2.0,U-DEC,-,2019-03-23,UFC Fight Night: Thompson vs. Pettis,Alexis Davis,Jennifer Maia,Decision - Unanimous,3,5:00,3 Rnd (5-5-5) Referee:,,0.0,0.0,72 of 122,60 of 128,59%,46%,107 of 174,70 of 142,1 of 2,0 of 0,50%,0%,0.0,0.0,2.0,0.0,0.0,0.0,16 of 54,44 of 112,28 of 37,12 of 12,28 of 31,4 of 4,21 of 27,11 of 15,50 of 94,49 of 113,1 of 1,0 of 0
2019-03-23,UFC Fight Night: Thompson vs. Pettis,3,5:00,win,-,Chris Gutierrez,Ryan MacDonald,Bantamweight,69.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,U-DEC,-,2019-03-23,UFC Fight Night: Thompson vs. Pettis,Ryan MacDonald,Chris Gutierrez,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Ricky Parker,0.0,0.0,15 of 75,69 of 121,20%,57%,15 of 75,70 of 123,0 of 3,0 of 0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,4 of 56,15 of 51,1 of 6,21 of 29,10 of 13,33 of 41,0 of 1,0 of 2,15 of 74,69 of 119,0 of 0,0 of 0
2019-03-23,UFC Fight Night: Thompson vs. Pettis,2,3:01,win,-,Maycee Barber,JJ Aldrich,Women's Flyweight,55.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,KO/TKO,Punches,2019-03-23,UFC Fight Night: Thompson vs. Pettis,Maycee Barber,JJ Aldrich,KO/TKO,2,3:01,3 Rnd (5-5-5),Keith Peterson,0.0,0.0,55 of 110,25 of 85,50%,29%,59 of 115,28 of 88,0 of 0,0 of 0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,34 of 83,23 of 82,6 of 8,1 of 2,15 of 19,1 of 1,16 of 23,5 of 9,39 of 87,19 of 74,0 of 0,1 of 2
2019-03-23,UFC Fight Night: Thompson vs. Pettis,3,5:00,win,-,Jordan Espinosa,Eric Shelton,Flyweight,47.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,U-DEC,-,2019-03-23,UFC Fight Night: Thompson vs. Pettis,Eric Shelton,Jordan Espinosa,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jimmy Neely,0.0,0.0,25 of 81,47 of 105,30%,44%,25 of 81,47 of 105,0 of 0,1 of 3,0%,33%,0.0,0.0,0.0,0.0,0.0,0.0,18 of 69,19 of 63,1 of 3,10 of 14,6 of 9,18 of 28,0 of 2,1 of 3,25 of 79,46 of 102,0 of 0,0 of 0
2019-03-30,UFC Fight Night: Barboza vs. Gaethje,3,5:00,win,-,Michelle Waterson,Karolina Kowalkiewicz,Women's Strawweight,64.0,57.0,2.0,0.0,1.0,0.0,1.0,0.0,U-DEC,-,2019-03-30,UFC Fight Night: Barboza vs. Gaethje,Karolina Kowalkiewicz,Michelle Waterson,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,0.0,0.0,57 of 118,64 of 149,48%,42%,77 of 141,82 of 167,0 of 0,2 of 4,0%,50%,0.0,1.0,0.0,1.0,0.0,0.0,16 of 61,25 of 93,20 of 27,17 of 26,21 of 30,22 of 30,13 of 13,17 of 21,42 of 103,41 of 121,2 of 2,6 of 7
2019-03-30,UFC Fight Night: Barboza vs. Gaethje,1,2:30,win,-,Justin Gaethje,Edson Barboza,Lightweight,20.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,KO/TKO,Punch,2019-03-30,UFC Fight Night: Barboza vs. Gaethje,Edson Barboza,Justin Gaethje,KO/TKO,1,2:30,5 Rnd (5-5-5-5-5),Keith Peterson,0.0,1.0,13 of 32,20 of 35,40%,57%,13 of 32,22 of 37,0 of 0,0 of 0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,6 of 21,13 of 28,3 of 5,2 of 2,4 of 6,5 of 5,2 of 2,8 of 13,11 of 30,12 of 22,0 of 0,0 of 0
2019-03-30,UFC Fight Night: Barboza vs. Gaethje,1,0:49,win,-,Jack Hermansson,David Branch,Middleweight,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,SUB,Guillotine Choke,2019-03-30,UFC Fight Night: Barboza vs. Gaethje,David Branch,Jack Hermansson,Submission,1,0:49,3 Rnd (5-5-5),Dan Miragliotta,0.0,0.0,1 of 6,3 of 10,16%,30%,1 of 6,3 of 10,0 of 0,1 of 2,0%,50%,0.0,1.0,0.0,1.0,0.0,0.0,1 of 6,1 of 6,0 of 0,0 of 2,0 of 0,2 of 2,0 of 0,0 of 0,1 of 6,3 of 10,0 of 0,0 of 0
2019-03-30,UFC Fight Night: Barboza vs. Gaethje,3,4:14,win,-,Josh Emmett,Michael Johnson,Featherweight,22.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,KO/TKO,Punch,2019-03-30,UFC Fight Night: Barboza vs. Gaethje,Josh Emmett,Michael Johnson,KO/TKO,3,4:14,3 Rnd (5-5-5),Keith Peterson,1.0,0.0,22 of 87,24 of 128,25%,18%,22 of 87,24 of 128,0 of 3,0 of 0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,7 of 65,13 of 110,7 of 14,9 of 14,8 of 8,2 of 4,0 of 0,0 of 0,22 of 87,24 of 128,0 of 0,0 of 0
2019-03-30,UFC Fight Night: Barboza vs. Gaethje,3,4:20,win,-,Paul Craig,Kennedy Nzechukwu,Light Heavyweight,25.0,40.0,1.0,0.0,2.0,0.0,0.0,1.0,SUB,Triangle Choke,2019-03-30,UFC Fight Night: Barboza vs. Gaethje,Kennedy Nzechukwu,Paul Craig,Submission,3,4:20,3 Rnd (5-5-5),Keith Peterson,0.0,0.0,40 of 72,25 of 77,55%,32%,47 of 80,31 of 83,0 of 0,1 of 16,0%,6%,0.0,2.0,1.0,0.0,0.0,1.0,33 of 64,6 of 51,7 of 8,13 of 20,0 of 0,6 of 6,7 of 7,4 of 6,11 of 36,21 of 71,22 of 29,0 of 0
2019-03-30,UFC Fight Night: Barboza vs. Gaethje,3,5:00,win,-,Sodiq Yusuff,Sheymon Moraes,Featherweight,73.0,54.0,0.0,0.0,0.0,0.0,1.0,0.0,U-DEC,-,2019-03-30,UFC Fight Night: Barboza vs. Gaethje,Sodiq Yusuff,Sheymon Moraes,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,1.0,0.0,73 of 148,54 of 118,49%,45%,99 of 177,58 of 122,0 of 3,0 of 0,0%,0%,0.0,0.0,1.0,0.0,0.0,0.0,32 of 88,21 of 70,25 of 35,26 of 40,16 of 25,7 of 8,15 of 21,12 of 16,49 of 115,42 of 102,9 of 12,0 of 0
2019-03-30,UFC Fight Night: Barboza vs. Gaethje,1,2:52,win,-,Desmond Green,Ross Pearson,Lightweight,25.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,KO/TKO,Punches,2019-03-30,UFC Fight Night: Barboza vs. Gaethje,Ross Pearson,Desmond Green,KO/TKO,1,2:52,3 Rnd (5-5-5),James Chappell,0.0,1.0,12 of 24,25 of 32,50%,78%,12 of 24,25 of 32,0 of 1,1 of 2,0%,50%,0.0,0.0,0.0,0.0,0.0,0.0,1 of 6,17 of 23,4 of 11,6 of 6,7 of 7,2 of 3,0 of 0,1 of 1,12 of 24,10 of 16,0 of 0,14 of 15
2019-03-30,UFC Fight Night: Barboza vs. Gaethje,3,5:00,win,-,Kevin Aguilar,Enrique Barzola,Featherweight,58.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,U-DEC,-,2019-03-30,UFC Fight Night: Barboza vs. Gaethje,Enrique Barzola,Kevin Aguilar,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Bill Bookwalter,0.0,0.0,52 of 126,58 of 243,41%,23%,53 of 127,58 of 243,0 of 8,0 of 0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,28 of 96,36 of 208,9 of 13,20 of 31,15 of 17,2 of 4,2 of 5,0 of 3,50 of 121,58 of 240,0 of 0,0 of 0
2019-03-30,UFC Fight Night: Barboza vs. Gaethje,3,5:00,win,-,Kevin Holland,Gerald Meerschaert,Middleweight,27.0,10.0,1.0,6.0,2.0,4.0,4.0,9.0,S-DEC,-,2019-03-30,UFC Fight Night: Barboza vs. Gaethje,Kevin Holland,Gerald Meerschaert,Decision - Split,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,0.0,0.0,27 of 43,10 of 13,62%,76%,76 of 98,44 of 56,1 of 2,6 of 11,50%,54%,2.0,4.0,4.0,9.0,2.0,2.0,19 of 35,4 of 6,4 of 4,3 of 4,4 of 4,3 of 3,0 of 1,4 of 7,10 of 19,4 of 4,17 of 23,2 of 2
2019-03-30,UFC Fight Night: Barboza vs. Gaethje,3,5:00,win,-,Casey Kenney,Ray Borg,Bantamweight,32.0,17.0,2.0,7.0,0.0,0.0,4.0,3.0,U-DEC,-,2019-03-30,UFC Fight Night: Barboza vs. Gaethje,Ray Borg,Casey Kenney,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),James Chappell,0.0,0.0,17 of 35,32 of 52,48%,61%,22 of 40,46 of 68,7 of 10,2 of 3,70%,66%,0.0,0.0,3.0,4.0,1.0,3.0,8 of 23,9 of 27,8 of 11,19 of 20,1 of 1,4 of 5,13 of 19,19 of 25,2 of 14,9 of 23,2 of 2,4 of 4
2019-03-30,UFC Fight Night: Barboza vs. Gaethje,3,5:00,win,-,Maryna Moroz,Sabina Mazo,Women's Flyweight,56.0,64.0,1.0,0.0,0.0,0.0,0.0,0.0,U-DEC,-,2019-03-30,UFC Fight Night: Barboza vs. Gaethje,Sabina Mazo,Maryna Moroz,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,0.0,0.0,64 of 144,56 of 190,44%,29%,73 of 157,74 of 208,0 of 0,1 of 9,0%,11%,0.0,0.0,0.0,0.0,0.0,0.0,21 of 87,27 of 150,19 of 25,18 of 28,24 of 32,11 of 12,2 of 5,4 of 9,61 of 138,47 of 174,1 of 1,5 of 7
2019-03-30,UFC Fight Night: Barboza vs. Gaethje,3,5:00,win,-,Marina Rodriguez,Jessica Aguilar,Women's Strawweight,118.0,50.0,0.0,0.0,0.0,1.0,0.0,1.0,U-DEC,-,2019-03-30,UFC Fight Night: Barboza vs. Gaethje,Marina Rodriguez,Jessica Aguilar,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,1.0,0.0,118 of 202,50 of 114,58%,43%,129 of 213,63 of 127,0 of 1,0 of 1,0%,0%,0.0,1.0,0.0,1.0,1.0,0.0,58 of 123,23 of 76,38 of 53,27 of 38,22 of 26,0 of 0,39 of 47,27 of 38,67 of 143,22 of 75,12 of 12,1 of 1
2019-03-30,UFC Fight Night: Barboza vs. Gaethje,3,5:00,win,-,Alex Perez,Mark De La Rosa,Bantamweight,60.0,26.0,2.0,0.0,0.0,0.0,1.0,0.0,U-DEC,-,2019-03-30,UFC Fight Night: Barboza vs. Gaethje,Alex Perez,Mark De La Rosa,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Bill Bookwalter,0.0,0.0,60 of 110,26 of 84,54%,30%,150 of 220,74 of 140,2 of 4,0 of 0,50%,0%,0.0,0.0,1.0,0.0,0.0,0.0,37 of 74,19 of 73,2 of 5,2 of 2,21 of 31,5 of 9,1 of 2,2 of 2,26 of 64,15 of 70,33 of 44,9 of 12
2019-04-13,UFC 236: Holloway vs. Poirier 2,5,5:00,win,-,Dustin Poirier,Max Holloway,Lightweight,178.0,181.0,1.0,0.0,0.0,1.0,0.0,0.0,U-DEC,-,2019-04-13,UFC 236: Holloway vs. Poirier 2,Max Holloway,Dustin Poirier,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Blake Grice,0.0,0.0,181 of 446,178 of 381,40%,46%,208 of 473,180 of 383,0 of 0,1 of 8,0%,12%,1.0,0.0,0.0,0.0,0.0,0.0,141 of 394,153 of 349,39 of 50,18 of 24,1 of 2,7 of 8,14 of 21,13 of 16,167 of 425,165 of 365,0 of 0,0 of 0
2019-04-13,UFC 236: Holloway vs. Poirier 2,5,5:00,win,-,Israel Adesanya,Kelvin Gastelum,Middleweight,109.0,91.0,0.0,1.0,2.0,0.0,0.0,0.0,U-DEC,-,2019-04-13,UFC 236: Holloway vs. Poirier 2,Kelvin Gastelum,Israel Adesanya,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,0.0,4.0,91 of 220,109 of 237,41%,45%,92 of 222,119 of 247,1 of 9,0 of 0,11%,0%,0.0,2.0,0.0,0.0,1.0,0.0,68 of 191,70 of 186,12 of 16,16 of 23,11 of 13,23 of 28,0 of 1,1 of 1,91 of 219,100 of 225,0 of 0,8 of 11
2019-04-13,UFC 236: Holloway vs. Poirier 2,3,5:00,win,-,Khalil Rountree Jr.,Eryk Anders,Light Heavyweight,79.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,U-DEC,-,2019-04-13,UFC 236: Holloway vs. Poirier 2,Eryk Anders,Khalil Rountree Jr.,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,0.0,4.0,16 of 69,79 of 157,23%,50%,19 of 72,83 of 162,0 of 1,0 of 0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,12 of 62,26 of 89,4 of 7,15 of 23,0 of 0,38 of 45,0 of 1,0 of 0,16 of 68,75 of 145,0 of 0,4 of 12
2019-04-13,UFC 236: Holloway vs. Poirier 2,3,5:00,win,-,Dwight Grant,Alan Jouban,Welterweight,38.0,24.0,0.0,1.0,0.0,0.0,0.0,1.0,S-DEC,-,2019-04-13,UFC 236: Holloway vs. Poirier 2,Alan Jouban,Dwight Grant,Decision - Split,3,5:00,3 Rnd (5-5-5),George Allen,0.0,0.0,24 of 100,38 of 122,24%,31%,25 of 101,39 of 123,1 of 2,0 of 0,50%,0%,0.0,0.0,1.0,0.0,0.0,0.0,9 of 77,13 of 88,3 of 6,4 of 8,12 of 17,21 of 26,1 of 4,1 of 1,19 of 89,37 of 121,4 of 7,0 of 0
2019-04-13,UFC 236: Holloway vs. Poirier 2,2,2:30,win,-,Nikita Krylov,Ovince Saint Preux,Light Heavyweight,27.0,4.0,1.0,3.0,2.0,0.0,2.0,2.0,SUB,Rear Naked Choke,2019-04-13,UFC 236: Holloway vs. Poirier 2,Ovince Saint Preux,Nikita Krylov,Submission,2,2:30,3 Rnd (5-5-5),Blake Grice,0.0,0.0,4 of 8,27 of 44,50%,61%,8 of 12,60 of 79,3 of 8,1 of 2,37%,50%,0.0,2.0,2.0,2.0,1.0,0.0,3 of 6,15 of 27,1 of 2,7 of 11,0 of 0,5 of 6,1 of 1,6 of 8,2 of 5,17 of 32,1 of 2,4 of 4
2019-04-13,UFC 236: Holloway vs. Poirier 2,1,2:58,win,-,Alexandre Pantoja,Wilson Reis,Flyweight,23.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,KO/TKO,Punch,2019-04-13,UFC 236: Holloway vs. Poirier 2,Wilson Reis,Alexandre Pantoja,KO/TKO,1,2:58,3 Rnd (5-5-5),Jason Herzog,0.0,1.0,1 of 6,23 of 33,16%,69%,2 of 7,26 of 36,1 of 4,0 of 0,25%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0 of 4,19 of 28,0 of 1,4 of 5,1 of 1,0 of 0,0 of 0,0 of 0,1 of 6,7 of 12,0 of 0,16 of 21
2019-04-13,UFC 236: Holloway vs. Poirier 2,3,5:00,win,-,Max Griffin,Zelim Imadaev,Welterweight,47.0,64.0,6.0,0.0,3.0,0.0,2.0,0.0,M-DEC,-,2019-04-13,UFC 236: Holloway vs. Poirier 2,Max Griffin,Zelim Imadaev,Decision - Majority,3,5:00,3 Rnd (5-5-5),George Allen,0.0,0.0,47 of 92,64 of 150,51%,42%,72 of 121,78 of 165,6 of 11,0 of 1,54%,0%,3.0,0.0,2.0,0.0,0.0,0.0,23 of 65,46 of 120,16 of 19,12 of 22,8 of 8,6 of 8,11 of 18,17 of 24,34 of 71,47 of 126,2 of 3,0 of 0
2019-04-13,UFC 236: Holloway vs. Poirier 2,1,0:25,win,-,Khalid Taha,Boston Salmon,Bantamweight,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,KO/TKO,Punch,2019-04-13,UFC 236: Holloway vs. Poirier 2,Boston Salmon,Khalid Taha,KO/TKO,1,0:25,3 Rnd (5-5-5),Blake Grice,0.0,1.0,0 of 0,5 of 5,0%,100%,0 of 0,5 of 5,0 of 0,0 of 0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,0 of 0,5 of 5,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,2 of 2,0 of 0,3 of 3
2019-04-13,UFC 236: Holloway vs. Poirier 2,3,5:00,win,-,Belal Muhammad,Curtis Millender,Welterweight,47.0,48.0,2.0,0.0,0.0,0.0,6.0,1.0,U-DEC,-,2019-04-13,UFC 236: Holloway vs. Poirier 2,Curtis Millender,Belal Muhammad,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,0.0,0.0,48 of 96,47 of 107,50%,43%,50 of 98,126 of 217,0 of 0,2 of 6,0%,33%,0.0,0.0,1.0,6.0,0.0,0.0,19 of 61,39 of 96,7 of 12,4 of 7,22 of 23,4 of 4,2 of 2,0 of 1,46 of 94,33 of 78,0 of 0,14 of 28
2019-04-13,UFC 236: Holloway vs. Poirier 2,3,5:00,win,-,Montel Jackson,Andre Soukhamthath,Bantamweight,64.0,30.0,3.0,1.0,0.0,0.0,3.0,0.0,U-DEC,-,2019-04-13,UFC 236: Holloway vs. Poirier 2,Montel Jackson,Andre Soukhamthath,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,0.0,0.0,64 of 107,30 of 62,59%,48%,160 of 218,41 of 73,3 of 4,1 of 1,75%,100%,0.0,0.0,3.0,0.0,1.0,0.0,38 of 78,6 of 33,17 of 19,7 of 10,9 of 10,17 of 19,11 of 14,4 of 4,38 of 78,26 of 58,15 of 15,0 of 0
2019-04-13,UFC 236: Holloway vs. Poirier 2,3,5:00,win,-,Poliana Botelho,Lauren Mueller,Women's Flyweight,47.0,47.0,2.0,0.0,0.0,0.0,2.0,1.0,U-DEC,-,2019-04-13,UFC 236: Holloway vs. Poirier 2,Lauren Mueller,Poliana Botelho,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),George Allen,0.0,0.0,47 of 116,47 of 84,40%,55%,105 of 182,152 of 202,0 of 0,2 of 2,0%,100%,0.0,0.0,1.0,2.0,0.0,0.0,28 of 87,19 of 45,9 of 18,14 of 22,10 of 11,14 of 17,4 of 5,8 of 8,42 of 109,33 of 70,1 of 2,6 of 6
2019-04-13,UFC 236: Holloway vs. Poirier 2,2,1:12,win,-,Brandon Davis,Randy Costa,Bantamweight,35.0,46.0,0.0,0.0,1.0,0.0,0.0,0.0,SUB,Rear Naked Choke,2019-04-13,UFC 236: Holloway vs. Poirier 2,Brandon Davis,Randy Costa,Submission,2,1:12,3 Rnd (5-5-5),Jason Herzog,0.0,0.0,35 of 88,46 of 101,39%,45%,40 of 93,49 of 104,0 of 0,0 of 0,0%,0%,1.0,0.0,0.0,0.0,0.0,0.0,20 of 67,37 of 89,6 of 11,8 of 11,9 of 10,1 of 1,5 of 6,2 of 3,30 of 82,44 of 98,0 of 0,0 of 0
2019-04-13,UFC 236: Holloway vs. Poirier 2,3,5:00,win,-,Matt Frevola,Jalin Turner,Lightweight,31.0,35.0,4.0,0.0,2.0,1.0,7.0,0.0,U-DEC,-,2019-04-13,UFC 236: Holloway vs. Poirier 2,Jalin Turner,Matt Frevola,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,0.0,0.0,35 of 116,31 of 77,30%,40%,42 of 124,49 of 95,0 of 0,4 of 13,0%,30%,1.0,2.0,0.0,7.0,1.0,2.0,27 of 101,18 of 50,8 of 15,5 of 18,0 of 0,8 of 9,1 of 5,0 of 2,31 of 107,24 of 67,3 of 4,7 of 8
2019-04-20,UFC Fight Night: Overeem vs. Oleinik,1,1:06,win,-,Sergei Pavlovich,Marcelo Golm,Heavyweight,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,KO/TKO,Punches,2019-04-20,UFC Fight Night: Overeem vs. Oleinik,Sergei Pavlovich,Marcelo Golm,KO/TKO,1,1:06,3 Rnd (5-5-5),Leon Roberts,1.0,0.0,17 of 26,5 of 15,65%,33%,17 of 26,5 of 15,0 of 0,0 of 0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,17 of 26,4 of 13,0 of 0,0 of 1,0 of 0,1 of 1,3 of 4,1 of 1,14 of 22,4 of 14,0 of 0,0 of 0
2019-04-20,UFC Fight Night: Overeem vs. Oleinik,1,4:45,win,-,Alistair Overeem,Aleksei Oleinik,Heavyweight,29.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,KO/TKO,Knee,2019-04-20,UFC Fight Night: Overeem vs. Oleinik,Alistair Overeem,Aleksei Oleinik,KO/TKO,1,4:45,5 Rnd (5-5-5-5-5),Marc Goddard,1.0,0.0,29 of 33,38 of 58,87%,65%,31 of 35,78 of 101,0 of 1,0 of 0,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,23 of 27,15 of 34,6 of 6,23 of 24,0 of 0,0 of 0,12 of 13,26 of 32,5 of 8,12 of 26,12 of 12,0 of 0
2019-04-20,UFC Fight Night: Overeem vs. Oleinik,3,5:00,win,-,Islam Makhachev,Arman Tsarukyan,Lightweight,14.0,13.0,4.0,1.0,0.0,0.0,2.0,0.0,U-DEC,-,2019-04-20,UFC Fight Night: Overeem vs. Oleinik,Islam Makhachev,Arman Tsarukyan,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,0.0,0.0,14 of 20,13 of 43,70%,30%,47 of 53,60 of 90,4 of 9,1 of 12,44%,8%,0.0,0.0,2.0,0.0,0.0,0.0,7 of 12,5 of 25,6 of 6,7 of 15,1 of 2,1 of 3,8 of 8,7 of 9,4 of 10,6 of 34,2 of 2,0 of 0
2019-04-20,UFC Fight Night: Overeem vs. Oleinik,3,5:00,win,-,Roxanne Modafferi,Antonina Shevchenko,Women's Flyweight,33.0,64.0,5.0,0.0,0.0,0.0,5.0,0.0,S-DEC,-,2019-04-20,UFC Fight Night: Overeem vs. Oleinik,Roxanne Modafferi,Antonina Shevchenko,Decision - Split,3,5:00,3 Rnd (5-5-5),Marc Goddard,0.0,0.0,33 of 79,64 of 116,41%,55%,105 of 162,87 of 144,5 of 6,0 of 0,83%,0%,0.0,0.0,5.0,0.0,2.0,2.0,29 of 73,50 of 101,3 of 5,12 of 13,1 of 1,2 of 2,3 of 4,10 of 11,18 of 60,49 of 98,12 of 15,5 of 7
2019-04-20,UFC Fight Night: Overeem vs. Oleinik,3,5:00,win,-,Movsar Evloev,SeungWoo Choi,Featherweight,50.0,26.0,5.0,0.0,0.0,0.0,1.0,0.0,U-DEC,-,2019-04-20,UFC Fight Night: Overeem vs. Oleinik,Movsar Evloev,SeungWoo Choi,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Vjacheslav Kiselev,0.0,0.0,50 of 78,26 of 58,64%,44%,121 of 156,94 of 136,5 of 16,0 of 2,31%,0%,0.0,0.0,1.0,0.0,0.0,0.0,42 of 69,19 of 49,7 of 8,5 of 5,1 of 1,2 of 4,15 of 16,10 of 12,6 of 29,10 of 40,29 of 33,6 of 6
2019-04-20,UFC Fight Night: Overeem vs. Oleinik,3,5:00,win,-,Sultan Aliev,Keita Nakamura,Welterweight,25.0,29.0,2.0,0.0,0.0,0.0,0.0,0.0,U-DEC,-,2019-04-20,UFC Fight Night: Overeem vs. Oleinik,Sultan Aliev,Keita Nakamura,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Leon Roberts,0.0,0.0,25 of 63,29 of 81,39%,35%,32 of 70,57 of 109,2 of 7,0 of 1,28%,0%,0.0,0.0,0.0,0.0,0.0,0.0,22 of 57,18 of 63,2 of 4,7 of 11,1 of 2,4 of 7,4 of 9,4 of 5,20 of 53,21 of 72,1 of 1,4 of 4
2019-04-20,UFC Fight Night: Overeem vs. Oleinik,2,3:10,win,-,Alexander Yakovlev,Alex Da Silva,Lightweight,14.0,8.0,1.0,1.0,1.0,0.0,0.0,2.0,SUB,Other - Choke,2019-04-20,UFC Fight Night: Overeem vs. Oleinik,Alexander Yakovlev,Alex Da Silva,Submission,2,3:10,3 Rnd (5-5-5),Marc Goddard,0.0,0.0,14 of 19,8 of 19,73%,42%,18 of 23,10 of 23,1 of 2,1 of 3,50%,33%,1.0,0.0,0.0,2.0,0.0,0.0,9 of 14,3 of 14,4 of 4,3 of 3,1 of 1,2 of 2,5 of 5,3 of 3,2 of 6,2 of 11,7 of 8,3 of 5
2019-04-20,UFC Fight Night: Overeem vs. Oleinik,2,3:15,win,-,Shamil Abdurakhimov,Marcin Tybura,Heavyweight,36.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,KO/TKO,Punches,2019-04-20,UFC Fight Night: Overeem vs. Oleinik,Marcin Tybura,Shamil Abdurakhimov,KO/TKO,2,3:15,3 Rnd (5-5-5),Herb Dean,0.0,1.0,28 of 70,36 of 87,40%,41%,28 of 70,36 of 87,0 of 0,0 of 3,0%,0%,0.0,0.0,0.0,0.0,0.0,0.0,17 of 58,24 of 72,6 of 7,10 of 13,5 of 5,2 of 2,2 of 5,10 of 13,26 of 65,26 of 74,0 of 0,0 of 0
