Date,Event,Location,url
2010-10-23,UFC 121: Lesnar vs Velasquez,"Anaheim, California, USA",http://ufcstats.com/event-details/afdb76fbd86f6d11
2010-11-13,UFC 122: Marquardt vs Okami,"Oberhausen, North Rhine-Westphalia, Germany",http://ufcstats.com/event-details/0ff11cc094e887bc
2010-11-20,UFC 123: Rampage vs Machida,"Auburn Hills, Michigan, USA",http://ufcstats.com/event-details/dd992d569aaebee6
2010-12-04,The Ultimate Fighter: Team GSP vs Team Koscheck Finale,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/5d7bdab5e03e3216
2010-12-11,UFC 124: St-Pierre vs Koscheck 2,"Montreal, Quebec, Canada",http://ufcstats.com/event-details/132f860d02953f4c
2011-01-01,UFC 125: Resolution,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/d1152823307d7e7c
2011-01-22,UFC Fight Night: Fight for the Troops 2,"Killeen, Texas, USA",http://ufcstats.com/event-details/282fa667ff9c51ed
2011-02-05,UFC 126: Silva vs Belfort,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/65ddc8a9ac4e8531
2011-02-26,UFC 127: Penn vs Fitch,"Sydney, New South Wales, Australia",http://ufcstats.com/event-details/88a9bc81271ccd89
2011-03-03,UFC Live: Sanchez vs Kampmann,"Louisville, Kentucky, USA",http://ufcstats.com/event-details/a54fc2d6fc224dc3
2011-03-19,UFC 128: Shogun vs Jones,"Newark, New Jersey, USA",http://ufcstats.com/event-details/1411c630ba711b64
2011-03-26,UFC Fight Night: Nogueira vs Davis,"Seattle, Washington, USA",http://ufcstats.com/event-details/8a59d346dc976a10
2011-04-30,UFC 129: St-Pierre vs Shields,"Toronto, Ontario, Canada",http://ufcstats.com/event-details/2db7fa8db6bc9632
2011-05-28,UFC 130: Rampage vs Hamill,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/b732b326c362fb62
2011-06-04,The Ultimate Fighter: Team Lesnar vs Team dos Santos Finale,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/3ba3b5cc94498437
2011-06-11,UFC 131: Dos Santos vs Carwin,"Vancouver, British Columbia, Canada",http://ufcstats.com/event-details/aac5ac38148f0528
2011-06-26,UFC Live: Kongo vs Barry,"Pittsburgh, Pennsylvania, USA",http://ufcstats.com/event-details/d023ae89a2a4a41e
2011-07-02,UFC 132: Cruz vs Faber,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/83fd97284f4bb4a4
2011-08-06,UFC 133: Evans vs Ortiz 2,"Philadelphia, Pennsylvania, USA",http://ufcstats.com/event-details/f1f9e48a0d150757
2011-08-14,UFC Live: Hardy vs Lytle,"Milwaukee, Wisconsin, USA",http://ufcstats.com/event-details/4c8d6fde2dde07c4
2011-08-27,UFC 134: Silva vs Okami,"Rio de Janeiro, Brazil",http://ufcstats.com/event-details/18968f97ad34f15c
2011-09-17,UFC Fight Night: Shields vs Ellenberger,"New Orleans, Louisiana, USA",http://ufcstats.com/event-details/1ffc38f67785797b
2011-09-24,UFC 135: Jones vs Rampage,"Denver, Colorado, USA",http://ufcstats.com/event-details/73ef22f25d0f70e2
2011-10-01,UFC Live: Cruz vs Johnson,"Washington, DC, USA",http://ufcstats.com/event-details/44f9c777fed7ca03
2011-10-08,UFC 136: Edgar vs Maynard 3,"Houston, Texas, USA",http://ufcstats.com/event-details/7d5b12de1625984e
2011-10-29,UFC 137: Penn vs Diaz,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/8788beb528894f33
2011-11-05,UFC 138: Leben vs Munoz,"Birmingham, England, United Kingdom",http://ufcstats.com/event-details/e780ccc79a209985
2011-11-12,UFC on FOX: Velasquez vs Dos Santos,"Anaheim, California, USA",http://ufcstats.com/event-details/1c061eb6e29eaa0a
2011-11-19,UFC 139: Shogun vs Henderson,"San Jose, California, USA",http://ufcstats.com/event-details/0ec821423baa26bd
2011-12-03,The Ultimate Fighter: Team Bisping vs Team Miller Finale,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/1f5f75658551f2d3
2011-12-10,UFC 140: Jones vs Machida,"Toronto, Ontario, Canada",http://ufcstats.com/event-details/6d7886b094b471ac
2011-12-30,UFC 141: Lesnar vs Overeem,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/91720876db0ee468
2012-01-14,UFC 142: Aldo vs Mendes,"Rio de Janeiro, Brazil",http://ufcstats.com/event-details/18524b46c570730b
2012-01-20,UFC on FX: Guillard vs Miller,"Nashville, Tennessee, USA",http://ufcstats.com/event-details/4d74641fac830182
2012-01-28,UFC on FOX: Evans vs Davis,"Chicago, Illinois, USA",http://ufcstats.com/event-details/c3c23c99477c041b
2012-02-04,UFC 143: Diaz vs Condit,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/df2cf66d8c0123db
2012-02-15,UFC on FUEL TV: Sanchez vs Ellenberger,"Omaha, Nebraska, USA",http://ufcstats.com/event-details/0a97691039c4bbfb
2012-02-25,UFC 144: Edgar vs Henderson,"Saitama, Japan",http://ufcstats.com/event-details/8377c5572cb356f3
2012-03-02,UFC on FX: Alves vs Kampmann,"Sydney, New South Wales, Australia",http://ufcstats.com/event-details/b5ea750025697880
2012-04-14,UFC on FUEL TV: Gustafsson vs Silva,"Stockholm, Sweden",http://ufcstats.com/event-details/21f2974fd08085e3
2012-04-21,UFC 145: Jones vs Evans,"Atlanta, Georgia, USA",http://ufcstats.com/event-details/155bfc7ed36622df
2012-05-05,UFC on FOX: Diaz vs Miller,"East Rutherford, New Jersey, USA",http://ufcstats.com/event-details/5898357a45a73674
2012-05-15,UFC on FUEL TV: Korean Zombie vs Poirier,"Fairfax, Virginia, USA",http://ufcstats.com/event-details/8caca5857ce0e30b
2012-05-26,UFC 146: Dos Santos vs Mir,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/4985113c0928aa62
2012-06-01,The Ultimate Fighter: Live Finale,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/96087e90d900f0ef
2012-06-08,UFC on FX: Johnson vs McCall,"Sunrise, Florida, USA",http://ufcstats.com/event-details/49590e0508b2c19f
2012-06-22,UFC on FX: Maynard vs Guida,"Atlantic City, New Jersey, USA",http://ufcstats.com/event-details/505934897b8b4824
2012-06-23,UFC 147: Silva vs Franklin 2,"Belo Horizonte, Minas Gerais, Brazil",http://ufcstats.com/event-details/3da19339ee7051d5
2012-07-07,UFC 148: Silva vs Sonnen 2,"Las Vegas, Nevada, USA",http://ufcstats.com/event-details/e8efeb9cf33b1941
2012-07-11,UFC on FUEL TV: Munoz vs Weidman,"San Jose, California, USA",http://ufcstats.com/event-details/d3b5ad3b15a64a18
2012-07-21,UFC 149: Faber vs Barao,"Calgary, Alberta, Canada",http://ufcstats.com/event-details/abbc4fc02e0d84b3
2012-08-04,UFC on FOX: Shogun vs Vera,"Los Angeles, California, USA",http://ufcstats.com/event-details/f62850b3c7480db9
2012-08-11,UFC 150: Henderson vs Edgar II,"Denver, Colorado, USA",http://ufcstats.com/event-details/3c48019bc387b80c
2012-09-22,UFC 152: Jones vs Belfort,"Toronto, Ontario, Canada",http://ufcstats.com/event-details/53e533db1b8e9712
2012-09-29,UFC on FUEL TV: Struve vs Miocic,"Nottingham, England, United Kingdom",http://ufcstats.com/event-details/6cbb7661c3258617
