Date,Event,ROUND,TIME,Results_1,Results_2,Fighter_1,Fighter_2,WEIGHT CLASS,STR_1,STR_2,TD_1,TD_2,SUB_1,SUB_2,PASS_1,PASS_2,METHOD_result,METHOD_note
2020-02-08,UFC 247: Jones vs. Reyes,3,5:00,win,,Trevin Giles,James Krause,Middleweight,71,44,0,1,1,4,3,1,S-DEC,
2020-02-08,UFC 247: Jones vs. Reyes,3,5:00,win,,Lauren Murphy,Andrea Lee,Women's Flyweight,80,104,2,0,0,1,1,0,S-DEC,
2020-02-08,UFC 247: Jones vs. Reyes,1,0:27,win,,Khaos Williams,Alex Morono,Welterweight,10,1,0,0,0,0,0,0,KO/TKO,Punch
2020-02-08,UFC 247: Jones vs. Reyes,2,1:41,win,,Mario Bautista,Miles Johns,Bantamweight,18,13,0,0,0,0,0,0,KO/TKO,Flying Knee
2020-02-08,UFC 247: Jones vs. Reyes,1,0:38,nc,nc,Domingo Pilarte,Journey Newson,Bantamweight,1,6,0,0,0,0,0,0,Overturned,Punch
2020-02-08,UFC 247: Jones vs. Reyes,3,5:00,win,,Andre Ewell,Jonathan Martinez,Bantamweight,80,66,0,0,0,0,0,0,S-DEC,
2020-02-08,UFC 247: Jones vs. Reyes,3,5:00,win,,Youssef Zalal,Austin Lingo,Featherweight,31,12,6,1,2,0,2,1,U-DEC,
2020-01-25,UFC Fight Night: Blaydes vs. Dos Santos,2,1:06,win,,Curtis Blaydes,Junior Dos Santos,Heavyweight,28,7,0,0,0,0,0,0,KO/TKO,Punches
2020-01-25,UFC Fight Night: Blaydes vs. Dos Santos,3,5:00,win,,Michael Chiesa,Rafael Dos Anjos,Welterweight,9,14,6,0,0,0,3,0,U-DEC,
2020-01-25,UFC Fight Night: Blaydes vs. Dos Santos,1,2:33,win,,Alex Perez,Jordan Espinosa,Flyweight,2,2,1,0,1,0,1,0,SUB,Arm Triangle
2020-01-25,UFC Fight Night: Blaydes vs. Dos Santos,2,4:26,win,,Angela Hill,Hannah Cifers,Women's Strawweight,70,46,1,0,0,0,2,0,KO/TKO,Elbows
2020-01-25,UFC Fight Night: Blaydes vs. Dos Santos,3,5:00,win,,Jamahal Hill,Darko Stosic,Light Heavyweight,101,31,0,6,0,0,0,4,U-DEC,
2020-01-25,UFC Fight Night: Blaydes vs. Dos Santos,3,5:00,win,,Bevon Lewis,Dequan Townsend,Middleweight,36,28,0,0,0,0,0,0,U-DEC,
2020-01-25,UFC Fight Night: Blaydes vs. Dos Santos,3,5:00,win,,Arnold Allen,Nik Lentz,Featherweight,63,49,0,0,0,0,0,0,U-DEC,
2020-01-25,UFC Fight Night: Blaydes vs. Dos Santos,3,5:00,win,,Justine Kish,Lucie Pudilova,Women's Flyweight,62,29,1,0,0,0,1,0,U-DEC,
2020-01-25,UFC Fight Night: Blaydes vs. Dos Santos,3,5:00,win,,Montel Jackson,Felipe Colares,Bantamweight,75,7,11,1,0,3,3,1,U-DEC,
2020-01-25,UFC Fight Night: Blaydes vs. Dos Santos,3,5:00,win,,Sara McMann,Lina Lansberg,Women's Bantamweight,38,1,3,0,1,0,7,0,U-DEC,
2020-01-25,UFC Fight Night: Blaydes vs. Dos Santos,3,2:53,win,,Brett Johns,Tony Gravely,Bantamweight,36,26,6,5,3,0,4,2,SUB,Rear Naked Choke
2020-01-25,UFC Fight Night: Blaydes vs. Dos Santos,1,2:43,win,,Herbert Burns,Nate Landwehr,Featherweight,7,4,1,0,1,0,0,0,KO/TKO,Knee
2020-01-18,UFC 246: McGregor vs. Cowboy,1,0:40,win,,Conor McGregor,Donald Cerrone,Welterweight,19,0,0,0,0,0,0,0,KO/TKO,Punches
2020-01-18,UFC 246: McGregor vs. Cowboy,3,5:00,win,,Holly Holm,Raquel Pennington,Women's Bantamweight,30,38,0,1,0,0,0,0,U-DEC,
2020-01-18,UFC 246: McGregor vs. Cowboy,2,4:38,win,,Aleksei Oleinik,Maurice Greene,Heavyweight,7,13,3,0,3,0,4,0,SUB,Armbar
2020-01-18,UFC 246: McGregor vs. Cowboy,1,2:49,win,,Brian Kelleher,Ode Osbourne,Bantamweight,7,9,1,0,1,0,1,0,SUB,Guillotine Choke
2020-01-18,UFC 246: McGregor vs. Cowboy,2,1:46,win,,Diego Ferreira,Anthony Pettis,Lightweight,25,22,3,0,1,0,4,0,SUB,Rear Naked Choke
2020-01-18,UFC 246: McGregor vs. Cowboy,3,5:00,win,,Roxanne Modafferi,Maycee Barber,Women's Flyweight,19,16,1,0,0,1,10,1,U-DEC,
2020-01-18,UFC 246: McGregor vs. Cowboy,3,5:00,win,,Sodiq Yusuff,Andre Fili,Featherweight,73,49,0,3,1,0,5,0,U-DEC,
2020-01-18,UFC 246: McGregor vs. Cowboy,3,5:00,win,,Askar Askarov,Tim Elliott,Flyweight,73,47,0,3,0,0,2,1,U-DEC,
2020-01-18,UFC 246: McGregor vs. Cowboy,1,1:10,win,,Drew Dober,Nasrat Haqparast,Lightweight,13,7,0,0,0,0,1,0,KO/TKO,Punch
2020-01-18,UFC 246: McGregor vs. Cowboy,3,5:00,win,,Aleksa Camur,Justin Ledet,Light Heavyweight,80,44,1,0,0,0,0,0,U-DEC,
2020-01-18,UFC 246: McGregor vs. Cowboy,3,5:00,win,,Sabina Mazo,JJ Aldrich,Women's Flyweight,118,58,0,0,0,0,0,0,S-DEC,
2019-12-21,UFC Fight Night: Edgar vs. The Korean Zombie,1,3:18,win,,Chan Sung Jung,Frankie Edgar,Featherweight,46,9,0,0,0,0,1,0,KO/TKO,Punches
2019-12-21,UFC Fight Night: Edgar vs. The Korean Zombie,3,5:00,win,,Volkan Oezdemir,Aleksandar Rakic,Light Heavyweight,63,75,0,1,0,1,0,0,S-DEC,
2019-12-21,UFC Fight Night: Edgar vs. The Korean Zombie,2,4:32,win,,Charles Jourdain,Dooho Choi,Featherweight,64,42,0,0,0,0,0,0,KO/TKO,Punches
2019-12-21,UFC Fight Night: Edgar vs. The Korean Zombie,1,1:04,win,,Da-Un Jung,Mike Rodriguez,Light Heavyweight,5,4,0,0,0,0,0,0,KO/TKO,Punch
2019-12-21,UFC Fight Night: Edgar vs. The Korean Zombie,3,5:00,win,,Junyong Park,Marc-Andre Barriault,Middleweight,77,51,5,0,0,0,0,0,U-DEC,
2019-12-21,UFC Fight Night: Edgar vs. The Korean Zombie,3,5:00,win,,Kyung Ho Kang,Liu Pingyuan,Bantamweight,20,25,3,0,0,0,2,0,S-DEC,
2019-12-21,UFC Fight Night: Edgar vs. The Korean Zombie,3,5:00,win,,Ciryl Gane,Tanner Boser,Heavyweight,65,32,0,0,0,0,0,0,U-DEC,
2019-12-21,UFC Fight Night: Edgar vs. The Korean Zombie,3,5:00,win,,SeungWoo Choi,Suman Mokhtarian,Featherweight,95,33,0,0,0,0,2,0,U-DEC,
2019-12-21,UFC Fight Night: Edgar vs. The Korean Zombie,3,5:00,win,,Omar Morales,Dong Hyun Ma,Lightweight,32,15,1,0,0,0,3,0,U-DEC,
2019-12-21,UFC Fight Night: Edgar vs. The Korean Zombie,1,4:17,win,,Alexandre Pantoja,Matt Schnell,Flyweight,34,20,1,0,0,0,1,0,KO/TKO,Punch
2019-12-21,UFC Fight Night: Edgar vs. The Korean Zombie,3,5:00,win,,Raoni Barcelos,Said Nurmagomedov,Bantamweight,42,55,2,0,0,0,4,0,U-DEC,
2019-12-21,UFC Fight Night: Edgar vs. The Korean Zombie,1,3:43,win,,Amanda Lemos,Miranda Granger,Women's Strawweight,8,4,1,0,1,0,1,0,SUB,Rear Naked Choke
2019-12-21,UFC Fight Night: Edgar vs. The Korean Zombie,3,5:00,win,,Heili Alateng,Ryan Benoit,Bantamweight,47,68,4,0,0,0,0,0,S-DEC,
2019-12-14,UFC 245: Usman vs. Covington,5,4:10,win,,Kamaru Usman,Colby Covington,Welterweight,175,143,0,0,0,0,0,0,KO/TKO,Punch
2019-12-14,UFC 245: Usman vs. Covington,5,5:00,win,,Alexander Volkanovski,Max Holloway,Featherweight,157,134,0,0,0,0,0,0,U-DEC,
2019-12-14,UFC 245: Usman vs. Covington,5,5:00,win,,Amanda Nunes,Germaine de Randamie,Women's Bantamweight,79,40,8,0,2,1,5,0,U-DEC,
2019-12-14,UFC 245: Usman vs. Covington,3,5:00,win,,Marlon Moraes,Jose Aldo,Bantamweight,59,58,1,0,0,0,1,0,S-DEC,
2019-12-14,UFC 245: Usman vs. Covington,3,0:43,win,,Petr Yan,Urijah Faber,Bantamweight,54,18,2,0,0,0,1,0,KO/TKO,Kick
2019-12-14,UFC 245: Usman vs. Covington,1,1:30,win,,Geoff Neal,Mike Perry,Welterweight,15,5,0,0,0,0,0,0,KO/TKO,Punches
2019-12-14,UFC 245: Usman vs. Covington,1,4:51,win,,Irene Aldana,Ketlen Vieira,Women's Bantamweight,26,20,0,0,0,0,0,0,KO/TKO,Punch
2019-12-14,UFC 245: Usman vs. Covington,3,5:00,win,,Omari Akhmedov,Ian Heinisch,Middleweight,55,53,2,3,0,0,1,0,U-DEC,
2019-12-14,UFC 245: Usman vs. Covington,2,4:55,win,,Matt Brown,Ben Saunders,Welterweight,30,12,2,0,0,4,3,0,KO/TKO,Punches
2019-12-14,UFC 245: Usman vs. Covington,1,4:34,win,,Chase Hooper,Daniel Teymur,Featherweight,20,2,1,0,2,1,2,0,KO/TKO,Elbows
2019-12-14,UFC 245: Usman vs. Covington,3,5:00,win,,Brandon Moreno,Kai Kara-France,Flyweight,91,82,0,0,0,0,0,0,U-DEC,
2019-12-14,UFC 245: Usman vs. Covington,3,5:00,win,,Jessica Eye,Viviane Araujo,Women's Flyweight,98,56,0,2,0,0,0,2,U-DEC,
2019-12-14,UFC 245: Usman vs. Covington,1,3:17,win,,Punahele Soriano,Oskar Piechota,Middleweight,26,8,1,0,0,0,2,0,KO/TKO,Punch
2019-12-07,UFC Fight Night: Overeem vs. Rozenstruik,5,4:56,win,,Jairzinho Rozenstruik,Alistair Overeem,Heavyweight,89,74,0,2,0,0,0,3,KO/TKO,Punch
2019-12-07,UFC Fight Night: Overeem vs. Rozenstruik,3,5:00,draw,draw,Marina Rodriguez,Cynthia Calvillo,Women's Strawweight,56,78,0,3,0,0,0,7,M-DEC,
2019-12-07,UFC Fight Night: Overeem vs. Rozenstruik,2,4:57,win,,Ben Rothwell,Stefan Struve,Heavyweight,58,53,0,0,0,0,0,0,KO/TKO,Punches
