BODY_1,BODY_2,CLINCH_1,CLINCH_2,DISTANCE_1,DISTANCE_2,Date,Event,Fighter_1,Fighter_2,GROUND_1,GROUND_2,HEAD_1,HEAD_2,KD_1,KD_2,LEG_1,LEG_2,METHOD,PASS_1,PASS_2,REFEREE,REV_1,REV_2,ROUND,SIG_STR_1,SIG_STR_2,SUB_ATT_1,SUB_ATT_2,TD_1,TD_2,TIME,TIME_FORMAT,TOTAL_STR_1,TOTAL_STR_2,pSIG_STR_1,pSIG_STR_2,pTD_1,pTD_2
0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,1995-04-07,UFC 5: The Return of the Beast,Dave Beneteau,Todd Medina,8 of 13,0 of 0,8 of 13,0 of 0,0,0,0 of 0,0 of 0,KO/TKO,2,0,John McCarthy,0,0,1,8 of 13,0 of 0,0,0,1 of 1,0 of 0,2:12,1 Rnd (20),22 of 28,0 of 0,61%,0%,100%,0%
0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,1995-04-07,UFC 5: The Return of the Beast,Dan Severn,Oleg Taktarov,9 of 17,0 of 0,9 of 17,0 of 0,0,0,0 of 0,0 of 0,TKO - Doctor's Stoppage,1,0,John McCarthy,0,0,1,9 of 17,0 of 0,0,0,1 of 1,0 of 0,4:21,1 Rnd (20),38 of 64,0 of 0,52%,0%,100%,0%
0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 2,1995-04-07,UFC 5: The Return of the Beast,Oleg Taktarov,Ernie Verdicia,0 of 0,2 of 3,0 of 0,2 of 5,0,0,0 of 0,0 of 0,Submission,1,0,John McCarthy,1,0,1,0 of 0,2 of 5,1,0,0 of 1,0 of 0,2:23,1 Rnd (20),0 of 0,7 of 11,0%,40%,0%,0%
0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,1995-04-07,UFC 5: The Return of the Beast,Dave Beneteau,Asbel Cancio,12 of 18,0 of 0,12 of 18,0 of 0,0,0,0 of 0,0 of 0,KO/TKO,2,0,Lonnie Foster,0,0,1,12 of 18,0 of 0,0,0,1 of 1,0 of 0,0:21,1 Rnd (20),12 of 18,0 of 0,66%,0%,100%,0%
1 of 1,1 of 1,0 of 0,1 of 1,0 of 0,0 of 1,1995-04-07,UFC 5: The Return of the Beast,Todd Medina,Larry Cureton,4 of 4,0 of 0,3 of 3,0 of 1,0,0,0 of 0,0 of 0,Submission,1,0,John McCarthy,0,0,1,4 of 4,1 of 2,1,0,1 of 1,0 of 0,2:55,1 Rnd (20),64 of 66,15 of 16,100%,50%,100%,0%
10 of 11,0 of 0,6 of 9,0 of 0,6 of 14,0 of 0,1995-04-07,UFC 5: The Return of the Beast,Jon Hess,Andy Anderson,5 of 5,2 of 2,7 of 17,2 of 2,0,0,0 of 0,0 of 0,KO/TKO,0,0,John McCarthy,0,1,1,17 of 28,2 of 2,0,0,0 of 0,0 of 2,1:23,1 Rnd (20),30 of 41,6 of 6,60%,100%,0%,0%
0 of 0,1 of 1,0 of 0,0 of 0,0 of 0,1 of 1,1995-04-07,UFC 5: The Return of the Beast,Dan Severn,Joe Charles,2 of 4,0 of 0,2 of 4,0 of 0,0,0,0 of 0,0 of 0,Submission,2,0,John McCarthy,0,0,1,2 of 4,1 of 1,1,0,1 of 1,0 of 0,1:38,1 Rnd (20),12 of 19,1 of 2,50%,100%,100%,0%
1 of 1,0 of 2,2 of 2,0 of 0,2 of 5,0 of 4,1995-04-07,UFC 5: The Return of the Beast,Guy Mezger,John Dowdy,8 of 10,0 of 0,10 of 15,0 of 0,1,0,1 of 1,0 of 2,KO/TKO,2,0,John McCarthy,0,0,1,12 of 17,0 of 4,0,0,0 of 0,0 of 0,2:02,1 Rnd (20),15 of 20,2 of 7,70%,0%,0%,0%
0 of 0,1 of 1,1 of 1,3 of 7,3 of 9,8 of 27,1995-07-14,UFC 6: Clash of the Titans,Oleg Taktarov,David Abbott,0 of 0,6 of 11,4 of 10,16 of 44,0,0,0 of 0,0 of 0,Submission,1,1,John McCarthy,0,0,1,4 of 10,17 of 45,4,1,0 of 3,2 of 3,17:45,1 Rnd + OT (30-5),48 of 59,39 of 71,40%,37%,0%,66%
1 of 1,0 of 0,1 of 1,1 of 1,1 of 4,1 of 1,1995-07-14,UFC 6: Clash of the Titans,Ken Shamrock,Dan Severn,0 of 0,0 of 0,1 of 4,1 of 1,0,0,0 of 0,1 of 1,Submission,0,0,John McCarthy,0,0,1,2 of 5,2 of 2,2,0,0 of 1,0 of 1,2:14,1 Rnd + OT (30-5),2 of 5,2 of 2,40%,100%,0%,0%
0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,1995-07-14,UFC 6: Clash of the Titans,Oleg Taktarov,Anthony Macias,0 of 0,0 of 0,0 of 0,0 of 0,0,0,0 of 0,0 of 0,Submission,1,0,John McCarthy,1,0,1,0 of 0,0 of 0,1,0,0 of 0,0 of 1,0:09,1 Rnd (20),0 of 0,0 of 0,0%,0%,0%,0%
1 of 1,1 of 1,0 of 0,1 of 1,1 of 1,0 of 1,1995-07-14,UFC 6: Clash of the Titans,David Abbott,Paul Varelans,13 of 20,0 of 0,13 of 20,0 of 1,0,0,0 of 0,0 of 0,KO/TKO,1,0,John McCarthy,0,0,1,14 of 21,1 of 2,0,0,1 of 1,0 of 0,1:53,1 Rnd (20),18 of 25,12 of 14,66%,50%,100%,0%
0 of 0,0 of 0,0 of 2,4 of 11,0 of 0,0 of 0,1995-07-14,UFC 6: Clash of the Titans,Oleg Taktarov,Dave Beneteau,0 of 0,1 of 3,0 of 2,5 of 14,0,0,0 of 0,0 of 0,Submission,0,0,John McCarthy,0,0,1,0 of 2,5 of 14,1,0,0 of 1,1 of 1,0:57,1 Rnd (20),5 of 7,5 of 14,0%,35%,0%,100%
